                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.8277,                 9.2517,                      0,                 12.613,                 6.0216,                0.00664,                0.27772,                0.00931,                0.00387,                0.00704,                0.29471,                0.00865,                0.00615,                 4.3568,                     24,                      0,                 188.05,                 5.2345,             0.00066298,             0.00066298,             0.00066298
                      2,                 2.5282,                 1.3129,                      0,                 2.3038,                 3.1539,                0.82767,                0.82717,                0.90467,                0.55268,                0.83417,                0.83716,                0.91897,                0.87017,                 2.9251,                     24,                      0,                 1.4084,                 3.9331,              0.0013165,              0.0013165,              0.0013165
                      3,                  2.073,                0.84271,                      0,                 1.3709,                 2.6558,                 0.8022,                0.81818,                0.88691,                0.41358,                0.80661,                 0.8625,                0.91747,                0.83997,                 3.6753,                     24,                      0,                 1.5328,                  4.757,              0.0019568,              0.0019568,              0.0019568
                      4,                 1.8939,                0.69129,                      0,                 1.1037,                 2.4291,                0.89422,                0.86014,                0.94401,                0.49917,                0.89836,                0.87417,                0.95795,                0.92221,                  3.219,                     24,                      0,                 1.3952,                 4.2568,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7401,                0.54579,                      0,                 0.9938,                 2.2679,                0.88827,                 0.8816,                0.94893,                0.49538,                0.89316,                0.89358,                0.95939,                0.92699,                 3.3993,                     24,                      0,                 1.2486,                 4.2525,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.647,                 0.4846,                      0,                0.89644,                 2.1966,                0.90729,                0.88811,                0.95734,                0.54612,                0.91444,                 0.8951,                0.96635,                0.93511,                  2.977,                     24,                      0,                 1.1966,                  3.859,               0.001901,               0.001901,               0.001901
                      7,                 1.5702,                0.40712,                      0,                0.83696,                 2.1315,                0.91122,                0.90231,                0.96435,                0.60684,                0.91529,                0.90666,                0.97162,                0.93785,                 2.6819,                     24,                      0,                 1.0771,                 3.5339,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5264,                0.37207,                      0,                0.78822,                 2.0976,                0.91833,                0.90983,                0.96811,                0.57829,                0.92235,                0.91375,                0.97594,                0.94818,                 3.0519,                     24,                      0,                 1.1577,                 4.0126,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4817,                 0.3304,                      0,                0.77025,                 2.0707,                0.91379,                0.94242,                0.97298,                0.57071,                0.91484,                0.94605,                0.97487,                 0.9493,                  3.029,                     24,                      0,                  1.124,                 3.9224,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4484,                 0.3008,                      0,                0.72354,                 2.0448,                0.88028,                 0.9001,                0.95418,                0.60997,                0.88123,                0.90425,                0.95962,                0.93506,                 2.6436,                     24,                      0,                 1.0603,                 3.5466,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4301,                0.30274,                      0,                0.70963,                 2.0334,                 0.9394,                0.93407,                0.98064,                0.63598,                0.94342,                0.93806,                0.98429,                0.95737,                 2.5747,                     24,                      0,                0.94381,                 3.5074,               0.001802,               0.001802,               0.001802
                     12,                 1.3966,                0.30071,                      0,                0.68979,                 2.0232,                0.91948,                0.90122,                0.96627,                0.62359,                0.92421,                 0.9011,                0.97522,                0.95115,                 2.7358,                     24,                      0,                 1.0063,                 3.5749,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3774,                0.26765,                      0,                0.66961,                 2.0026,                0.94498,                0.89223,                0.96698,                0.62673,                0.94604,                0.89323,                0.96993,                0.94503,                 2.6491,                     24,                      0,                0.99347,                 3.4454,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3478,                0.25466,                      0,                0.65417,                 1.9987,                0.93066,                0.92208,                0.97909,                0.69628,                0.93063,                0.92467,                0.98232,                0.95914,                 2.3065,                     24,                      0,                0.88157,                 3.0756,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3238,                0.23453,                      0,                0.63565,                 1.9642,                0.92618,                0.91497,                0.97137,                0.68576,                0.92817,                0.91656,                0.97558,                0.95379,                 2.2916,                     24,                      0,                0.93986,                   3.12,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.334,                0.24858,                      0,                0.64992,                 1.9838,                0.93247,                0.91038,                0.97293,                0.69291,                0.93451,                0.91238,                0.97833,                0.95808,                 2.3069,                     24,                      0,                0.91901,                 3.1714,               0.001703,               0.001703,               0.001703
                     17,                 1.2993,                0.23686,                      0,                0.60913,                 1.9642,                0.94068,                0.90293,                0.97292,                0.68068,                0.94172,                0.90393,                0.97698,                0.96141,                 2.4038,                     24,                      0,                0.90431,                 3.2451,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2729,                0.20615,                      0,                0.58972,                 1.9484,                0.94714,                0.93084,                0.98413,                0.72509,                0.94816,                0.93184,                0.98502,                0.96864,                 2.1423,                     24,                      0,                0.81555,                 2.9551,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3013,                0.23119,                      0,                0.61203,                 1.9724,                0.91188,                0.95104,                0.98175,                0.71527,                0.91473,                0.95374,                0.98283,                0.96647,                 2.1451,                     24,                      0,                0.85364,                 3.0119,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.2608,                0.19328,                      0,                0.59224,                 1.9381,                0.94465,                0.93906,                0.98193,                0.72029,                0.94626,                0.94206,                0.98406,                0.96441,                  2.127,                     24,                      0,                0.83269,                 2.8965,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2681,                0.22669,                      0,                0.58906,                 1.9502,                0.94543,                0.92408,                0.97711,                0.72652,                0.94598,                0.92711,                0.98311,                0.96165,                 2.1057,                     24,                      0,                0.82956,                 2.9326,               0.001604,               0.001604,               0.001604
                     22,                 1.2553,                0.20724,                      0,                0.57709,                 1.9396,                0.96559,                0.89708,                0.97772,                0.71531,                0.94285,                0.91908,                0.98113,                 0.9608,                  2.057,                     24,                      0,                 0.8226,                 2.8433,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2493,                0.20608,                      0,                0.56608,                  1.938,                0.96803,                0.91808,                0.98154,                0.72412,                0.96909,                0.91908,                0.98393,                0.96833,                 2.1135,                     24,                      0,                0.81477,                 2.9169,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.2353,                0.20225,                      0,                0.55773,                 1.9311,                0.92362,                0.95437,                0.98252,                0.74151,                0.92654,                0.95767,                0.98489,                0.96874,                 1.9592,                     24,                      0,                0.76334,                 2.7879,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2381,                0.19502,                      0,                0.56004,                 1.9398,                0.93835,                 0.9041,                0.97025,                0.72547,                0.93938,                0.90509,                0.97223,                0.95752,                 1.9927,                     24,                      0,                0.89674,                  2.801,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2149,                0.17698,                      0,                0.55463,                  1.926,                 0.9416,                0.91508,                0.97162,                0.75127,                0.94366,                0.91708,                0.97665,                0.95999,                 1.9253,                     24,                      0,                0.85765,                  2.729,               0.001505,               0.001505,               0.001505
                     27,                 1.2153,                0.17782,                      0,                0.54311,                 1.9236,                0.96141,                0.92807,                0.98394,                0.76296,                0.96039,                0.93506,                 0.9865,                0.96466,                 1.8485,                     24,                      0,                0.73079,                 2.7409,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1939,                0.16846,                      0,                0.53988,                 1.9041,                 0.9565,                0.94406,                 0.9879,                0.74033,                0.95751,                0.94505,                0.98845,                0.97363,                 1.9907,                     24,                      0,                 0.7448,                 2.8167,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1975,                0.17845,                      0,                0.54513,                 1.9081,                 0.9441,                0.96204,                0.98495,                0.71722,                0.94508,                0.96304,                0.98892,                0.97286,                 2.1568,                     24,                      0,                0.80509,                  2.924,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.1791,                0.17715,                      0,                0.52713,                 1.9011,                0.95653,                0.92331,                0.98189,                0.75038,                 0.9586,                 0.9253,                 0.9847,                0.96889,                 1.9346,                     24,                      0,                0.77407,                 2.7672,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.1785,                0.17547,                      0,                 0.5306,                 1.9059,                 0.9436,                0.93603,                0.97815,                0.76667,                0.94301,                0.94218,                0.98426,                 0.9606,                 1.7635,                     24,                      0,                0.75789,                 2.6231,               0.001406,               0.001406,               0.001406
                     32,                 1.1825,                0.16293,                      0,                0.52785,                 1.9079,                0.95697,                0.94505,                0.98675,                0.76661,                0.95899,                0.94705,                0.98901,                0.97073,                  1.876,                     24,                      0,                0.69167,                 2.7123,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.1662,                0.14733,                      0,                0.51546,                 1.8929,                0.96705,                0.93822,                0.98426,                0.75062,                0.96808,                0.93922,                0.98657,                0.97196,                 1.9283,                     24,                      0,                0.74567,                 2.7817,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.1649,                0.15934,                      0,                0.51473,                 1.8937,                0.94207,                0.95857,                0.98483,                 0.7829,                0.94306,                0.95957,                0.98821,                0.97316,                 1.7859,                     24,                      0,                0.70283,                 2.6605,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1601,                0.14462,                      0,                0.50959,                 1.8886,                0.96052,                0.94206,                0.98484,                0.79123,                0.96154,                0.94306,                 0.9878,                0.97279,                 1.6979,                     24,                      0,                0.71181,                 2.5757,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.1404,                0.14926,                      0,                0.50145,                 1.8824,                0.95152,                0.91109,                0.96924,                0.78869,                0.95465,                0.91409,                0.97874,                 0.9576,                 1.6699,                     24,                      0,                0.79964,                 2.5416,               0.001307,               0.001307,               0.001307
                     37,                 1.1488,                0.15285,                      0,                0.50305,                 1.8899,                0.97384,                0.93806,                0.98642,                0.78606,                0.97488,                0.93906,                0.98903,                0.97531,                 1.7721,                     24,                      0,                 0.6996,                 2.6327,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1375,                0.15737,                      0,                0.50313,                 1.8874,                0.96146,                0.94505,                0.98475,                0.79656,                0.96248,                0.94605,                0.98756,                0.97278,                 1.6556,                     24,                      0,                 0.7013,                 2.5415,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1374,                0.13077,                      0,                0.48541,                 1.8787,                0.97012,                0.94056,                0.98471,                0.78899,                0.97115,                0.94156,                0.98691,                0.97485,                 1.7375,                     24,                      0,                0.68685,                 2.6086,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1412,                0.15222,                      0,                0.49432,                 1.8721,                 0.9574,                0.94306,                0.98002,                0.77975,                 0.9583,                0.95405,                0.98756,                0.96918,                 1.7125,                     24,                      0,                0.69607,                 2.5775,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1337,                0.14257,                      0,                0.48966,                 1.8779,                0.97208,                0.93906,                0.98048,                0.79536,                0.97415,                0.94106,                0.98778,                0.97147,                 1.7122,                     24,                      0,                0.71388,                 2.5425,               0.001208,               0.001208,               0.001208
                     42,                  1.126,                0.15009,                      0,                0.49465,                 1.8773,                0.97877,                0.92122,                0.97809,                0.79943,                0.97983,                0.92222,                0.98062,                0.96826,                 1.6252,                     24,                      0,                0.75047,                 2.5127,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1275,                0.14222,                      0,                0.48027,                 1.8774,                0.97397,                0.93606,                0.98311,                0.79568,                0.97501,                0.93706,                  0.986,                0.97207,                  1.673,                     24,                      0,                0.69026,                 2.5399,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1093,                 0.1358,                      0,                0.47855,                 1.8654,                0.97166,                0.92464,                0.98054,                0.80641,                 0.9738,                0.92807,                0.98733,                0.96969,                 1.6195,                     24,                      0,                 0.6825,                 2.4863,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1057,                0.12434,                      0,                0.47548,                  1.857,                0.95802,                0.93464,                 0.9782,                0.78705,                 0.9578,                0.93806,                 0.9869,                0.96886,                  1.721,                     24,                      0,                0.73193,                 2.5736,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1005,                0.12761,                      0,                 0.4726,                 1.8659,                0.95802,                0.92607,                 0.9774,                0.80679,                0.95153,                0.94132,                0.98718,                 0.9684,                 1.5359,                     24,                      0,                0.70561,                 2.3956,               0.001109,               0.001109,               0.001109
                     47,                 1.0972,                0.12813,                      0,                0.46831,                 1.8622,                0.97447,                0.93706,                 0.9819,                0.78579,                0.97655,                0.93906,                0.98863,                0.97141,                 1.7418,                     24,                      0,                0.68319,                 2.6066,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0947,                0.12761,                      0,                0.46951,                 1.8651,                0.96982,                0.93084,                0.98132,                0.81324,                0.97089,                0.93295,                0.98519,                0.97031,                 1.5514,                     24,                      0,                0.69725,                 2.4593,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0873,                0.12514,                      0,                0.46173,                  1.856,                0.97552,                 0.9001,                0.96889,                0.80856,                0.94789,                0.92707,                0.98211,                0.96238,                 1.5723,                     24,                      0,                0.74175,                 2.4354,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0962,                0.12628,                      0,                0.46783,                 1.8565,                0.97678,                0.92458,                  0.979,                0.80972,                0.97784,                0.92558,                0.98543,                0.97129,                 1.5891,                     24,                      0,                 0.7012,                 2.4953,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0896,                0.12795,                      0,                0.45911,                 1.8686,                0.96983,                0.90809,                0.97027,                0.79941,                0.97089,                0.90909,                0.98192,                0.96595,                 1.6245,                     24,                      0,                0.77636,                 2.4904,                0.00101,                0.00101,                0.00101
                     52,                 1.0956,                0.13184,                      0,                0.45914,                 1.8585,                0.97735,                0.92108,                0.97233,                0.80282,                0.97947,                0.92308,                0.98428,                0.96763,                 1.6039,                     24,                      0,                0.76316,                  2.482,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0822,                0.12207,                      0,                0.45485,                 1.8502,                0.96611,                0.91123,                0.96887,                0.80739,                0.96717,                0.91223,                 0.9779,                0.96426,                 1.5874,                     24,                      0,                0.77026,                 2.4336,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0833,                0.12399,                      0,                0.45987,                 1.8592,                0.95277,                0.90695,                0.96159,                 0.7924,                0.96034,                0.91927,                0.97912,                 0.9579,                 1.6062,                     24,                      0,                0.81304,                 2.4736,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0836,                0.11495,                      0,                0.45292,                 1.8526,                0.94656,                0.90509,                0.95717,                0.79381,                0.95866,                0.91908,                0.98047,                0.94839,                 1.6035,                     24,                      0,                0.79484,                 2.4659,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0776,                0.11709,                      0,                0.45412,                  1.853,                0.96366,                0.91508,                0.96686,                 0.8094,                0.95488,                0.93035,                0.98047,                0.96275,                 1.5507,                     24,                      0,                0.75608,                 2.4696,               0.000911,               0.000911,               0.000911
                     57,                 1.0662,                0.12216,                      0,                0.45441,                 1.8495,                0.95137,                0.89896,                0.95908,                0.80352,                0.95585,                0.90835,                 0.9776,                  0.956,                 1.5725,                     24,                      0,                0.83977,                 2.4798,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.065,                0.11708,                      0,                0.44638,                 1.8467,                0.96851,                0.91608,                0.96994,                  0.806,                 0.9738,                0.92108,                0.98213,                 0.9655,                 1.5742,                     24,                      0,                0.75325,                 2.4461,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0706,                0.10731,                      0,                0.44024,                 1.8449,                0.95853,                0.93307,                0.97361,                0.81738,                0.96437,                0.93906,                0.98633,                0.96809,                 1.5211,                     24,                      0,                0.70001,                 2.4081,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0581,                  0.109,                      0,                0.43781,                  1.844,                0.97184,                0.89644,                0.96219,                0.80796,                0.96693,                0.90564,                0.97418,                0.95754,                 1.5472,                     24,                      0,                0.86454,                 2.4281,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0606,                0.11263,                      0,                0.43623,                 1.8415,                0.95323,                 0.9001,                0.95717,                0.80665,                0.95563,                0.91109,                0.97705,                0.95156,                 1.5197,                     24,                      0,                  0.855,                 2.4272,               0.000812,               0.000812,               0.000812
                     62,                  1.062,                0.10844,                      0,                0.43488,                 1.8411,                0.97497,                 0.9011,                0.96732,                0.80984,                 0.9449,                0.94217,                0.97965,                0.96258,                 1.5263,                     24,                      0,                0.77152,                 2.4447,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0452,                0.10441,                      0,                0.42774,                 1.8328,                0.97284,                0.89467,                0.97103,                0.81572,                0.95764,                0.92707,                0.98641,                0.96664,                 1.5037,                     24,                      0,                0.74133,                 2.4016,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0504,                0.10205,                      0,                 0.4311,                  1.839,                0.95788,                0.90868,                0.96375,                0.81038,                0.96384,                0.91708,                0.97753,                0.96157,                 1.5456,                     24,                      0,                0.82885,                 2.4485,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.049,                0.10824,                      0,                0.42954,                 1.8425,                0.97491,                 0.9031,                0.96248,                0.81174,                0.97847,                0.90784,                0.98071,                0.95979,                 1.5205,                     24,                      0,                0.82416,                 2.4277,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0498,                 0.1069,                      0,                0.42979,                 1.8404,                0.96285,                0.90632,                0.96411,                0.79977,                 0.9693,                0.91508,                0.97869,                0.95957,                 1.5802,                     24,                      0,                0.79955,                 2.4764,               0.000713,               0.000713,               0.000713
                     67,                 1.0357,                0.10292,                      0,                0.42323,                 1.8382,                0.98038,                0.90709,                0.96621,                0.80837,                 0.9847,                0.91109,                0.98023,                0.96384,                 1.5468,                     24,                      0,                0.77373,                 2.4499,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0473,                0.10006,                      0,                0.42594,                 1.8396,                0.97004,                0.90578,                 0.9674,                0.80969,                0.97462,                0.91109,                0.97978,                0.96338,                 1.5309,                     24,                      0,                0.76065,                 2.4278,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0306,                0.10445,                      0,                0.42598,                  1.834,                0.95283,                0.91109,                0.96456,                0.80633,                0.95828,                0.91776,                0.97711,                0.96118,                 1.5343,                     24,                      0,                0.78562,                 2.4223,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0378,                0.10241,                      0,                0.42189,                  1.836,                0.96801,                0.90683,                0.96563,                0.80756,                0.97739,                0.91708,                0.98247,                0.96179,                 1.5507,                     24,                      0,                0.79886,                 2.4602,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.038,                0.10187,                      0,                0.42084,                 1.8323,                0.97648,                0.91608,                0.96891,                0.79965,                0.96838,                0.93407,                0.98289,                0.96489,                  1.607,                     24,                      0,                0.75699,                 2.4916,               0.000614,               0.000614,               0.000614
                     72,                 1.0331,                0.10128,                      0,                0.42308,                 1.8354,                0.97596,                 0.8924,                0.96213,                0.81292,                0.95624,                0.91693,                0.97975,                0.95899,                 1.5022,                     24,                      0,                0.82589,                 2.4095,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.0282,                0.09627,                      0,                0.41737,                 1.8364,                0.97505,                0.89794,                0.96696,                0.81705,                0.95888,                0.93007,                0.98434,                0.96229,                 1.5169,                     24,                      0,                0.77968,                 2.4149,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0175,                 0.0994,                      0,                0.40894,                 1.8255,                0.95571,                0.90535,                0.96093,                 0.8074,                0.95994,                 0.9097,                0.97614,                0.95835,                 1.5611,                     24,                      0,                0.86916,                  2.446,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0223,                0.09578,                      0,                0.41348,                 1.8295,                0.96396,                0.90851,                0.96622,                0.80975,                0.96376,                0.91608,                0.97977,                0.96126,                 1.5759,                     24,                      0,                0.81966,                 2.4717,              0.0005348,              0.0005348,              0.0005348
                     76,                  1.014,                0.09782,                      0,                0.41081,                 1.8228,                 0.9558,                0.92008,                0.96679,                0.81464,                0.96175,                0.92935,                0.98534,                0.96399,                 1.5255,                     24,                      0,                0.76515,                 2.4495,               0.000515,               0.000515,               0.000515
                     77,                 1.0103,                0.09045,                      0,                0.40471,                 1.8203,                0.96417,                0.92807,                0.97317,                0.82103,                0.96767,                0.93606,                0.98546,                0.96855,                 1.4725,                     24,                      0,                0.71828,                 2.3931,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0095,                 0.0976,                      0,                0.40794,                 1.8223,                0.97355,                0.91209,                0.97102,                0.81314,                0.96104,                0.93633,                 0.9847,                0.96621,                 1.5365,                     24,                      0,                0.72315,                 2.4437,              0.0004754,              0.0004754,              0.0004754
                     79,                0.99847,                0.09379,                      0,                0.39982,                 1.8166,                0.97465,                0.92185,                0.97102,                0.80948,                0.97322,                0.92807,                0.98203,                0.96709,                 1.5642,                     24,                      0,                 0.7402,                 2.4584,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0078,                0.09712,                      0,                0.40481,                 1.8222,                0.97567,                0.92133,                0.97289,                0.82227,                0.98096,                0.92633,                0.98639,                0.96963,                 1.5038,                     24,                      0,                0.68243,                 2.4136,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0003,                0.09125,                      0,                0.40202,                 1.8233,                0.96676,                0.92108,                0.96961,                0.82216,                0.97095,                0.92507,                0.98488,                0.96639,                 1.4855,                     24,                      0,                0.74105,                 2.4018,               0.000416,               0.000416,               0.000416
                     82,                0.99604,                0.08994,                      0,                0.39562,                 1.8202,                0.94995,                0.92707,                 0.9721,                0.82284,                0.95706,                0.93524,                0.98374,                0.96719,                 1.4761,                     24,                      0,                0.73331,                 2.3807,              0.0003962,              0.0003962,              0.0003962
                     83,                0.99315,                0.08611,                      0,                0.39191,                   1.82,                0.96444,                0.92113,                0.96893,                0.82395,                 0.9742,                0.92707,                0.98019,                0.96528,                 1.4796,                     24,                      0,                0.77018,                  2.379,              0.0003764,              0.0003764,              0.0003764
                     84,                0.99175,                0.08667,                      0,                0.39309,                 1.8187,                0.96574,                0.91608,                0.96849,                0.82014,                0.96751,                 0.9221,                0.97924,                0.96377,                 1.4913,                     24,                      0,                0.78728,                 2.3892,              0.0003566,              0.0003566,              0.0003566
                     85,                0.99225,                 0.0924,                      0,                0.39664,                 1.8185,                 0.9758,                 0.8981,                0.96584,                0.81817,                0.96262,                0.92605,                0.97867,                0.96224,                 1.5093,                     24,                      0,                0.79858,                 2.3971,              0.0003368,              0.0003368,              0.0003368
                     86,                0.99339,                0.09032,                      0,                0.39204,                 1.8162,                0.97503,                0.89718,                0.96566,                0.81642,                0.95951,                0.92325,                0.97883,                0.96256,                 1.5247,                     24,                      0,                0.81522,                 2.4244,               0.000317,               0.000317,               0.000317
                     87,                0.98586,                0.08793,                      0,                   0.39,                 1.8106,                0.98039,                0.89889,                0.96695,                0.81889,                0.95326,                0.92607,                0.97668,                0.96448,                 1.5185,                     24,                      0,                0.79552,                 2.4142,              0.0002972,              0.0002972,              0.0002972
                     88,                0.99758,                0.09058,                      0,                0.39104,                 1.8198,                0.95301,                0.92208,                0.96846,                0.81841,                 0.9626,                0.93107,                0.98147,                 0.9643,                 1.5012,                     24,                      0,                 0.7891,                 2.4083,              0.0002774,              0.0002774,              0.0002774
                     89,                0.98002,                0.08277,                      0,                0.38531,                 1.8102,                 0.9775,                 0.8991,                0.96539,                0.81767,                0.96571,                0.91209,                0.98006,                0.96221,                 1.4978,                     24,                      0,                0.80541,                 2.3991,              0.0002576,              0.0002576,              0.0002576
                     90,                0.98459,                0.08596,                      0,                 0.3851,                 1.8133,                0.96334,                0.89264,                0.95753,                0.81999,                0.96658,                0.89564,                0.97098,                 0.9548,                 1.4526,                     24,                      0,                0.90813,                 2.3564,              0.0002378,              0.0002378,              0.0002378
                     91,                0.91531,                0.05524,                      0,                0.34874,                 1.7942,                0.96344,                0.89498,                0.95651,                0.82216,                0.96243,                 0.9011,                0.97131,                0.95256,                 1.4456,                     24,                      0,                0.90605,                 2.3654,               0.000218,               0.000218,               0.000218
                     92,                 0.9207,                0.05172,                      0,                0.34674,                 1.7923,                 0.9582,                0.87912,                0.95055,                0.81681,                 0.9593,                0.88212,                0.96614,                0.94945,                  1.478,                     24,                      0,                0.97702,                 2.4085,              0.0001982,              0.0001982,              0.0001982
                     93,                0.91125,                0.05239,                      0,                0.34217,                 1.7879,                0.95673,                0.87712,                0.94809,                0.81122,                0.95674,                0.88012,                0.96398,                0.94676,                 1.4898,                     24,                      0,                 1.0113,                 2.4138,              0.0001784,              0.0001784,              0.0001784
                     94,                0.90819,                0.05071,                      0,                0.33654,                  1.787,                 0.9555,                0.88212,                0.94915,                0.81562,                0.95719,                0.88412,                0.96479,                 0.9482,                 1.4859,                     24,                      0,                0.98299,                 2.4155,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.9063,                0.04959,                      0,                0.33697,                 1.7889,                 0.9562,                0.87912,                 0.9464,                0.81055,                0.95828,                0.88312,                0.96309,                0.94486,                 1.5016,                     24,                      0,                 1.0258,                 2.4245,              0.0001388,              0.0001388,              0.0001388
                     96,                0.90308,                 0.0498,                      0,                0.33485,                 1.7897,                0.94977,                0.88012,                0.94717,                0.81395,                0.95389,                0.88866,                0.96445,                0.94559,                 1.4888,                     24,                      0,                 1.0066,                 2.4143,               0.000119,               0.000119,               0.000119
                     97,                0.90283,                0.05009,                      0,                0.33349,                 1.7813,                0.95855,                0.87798,                0.94822,                 0.8147,                0.95083,                 0.8961,                0.96774,                0.94675,                  1.495,                     24,                      0,                 0.9996,                 2.4212,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.89644,                0.04943,                      0,                 0.3296,                 1.7874,                0.95899,                0.88112,                0.94896,                0.81668,                0.95306,                 0.8961,                0.96591,                0.94778,                 1.4888,                     24,                      0,                0.99021,                 2.4173,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.89604,                0.04875,                      0,                0.32906,                 1.7782,                 0.9682,                0.88112,                0.94947,                0.81538,                0.96665,                0.88611,                0.96657,                0.94851,                 1.5028,                     24,                      0,                0.97048,                 2.4292,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.89268,                0.04961,                      0,                0.32567,                 1.7884,                0.97555,                0.87695,                 0.9508,                0.81774,                0.97569,                0.88209,                0.96676,                0.94992,                 1.4904,                     24,                      0,                0.95705,                 2.4188,               3.98e-05,               3.98e-05,               3.98e-05
